,date,mtec_race_id,mtec_version_id,discipline,distance
0,2018-01-27,6375,92,classic,30.0
1,2018-01-27,6376,71,classic,15.0
2,2018-01-27,6383,20,freestyle,38.0
3,2018-01-27,6384,16,freestyle,20.0
4,2017-02-03,4992,13,classic,32.0
5,2017-02-03,4993,10,classic,14.4
6,2017-02-03,5000,18,freestyle,32.0
7,2017-02-03,5001,9,freestyle,14.4
8,2016-02-05,3816,106,classic,42.0
9,2016-02-05,3817,61,classic,21.0
10,2016-02-05,3824,142,freestyle,42.0
11,2016-02-05,3825,63,freestyle,21.0
12,2015-01-31,2882,13,classic,9.9
13,2015-01-31,2883,19,classic,16.5
14,2015-01-31,2887,16,freestyle,9.9
15,2015-01-31,2888,19,freestyle,13.2
16,2014-01-31,2005,8,classic,20.0
17,2014-01-31,2006,16,classic,42.0
18,2014-01-31,2010,8,freestyle,20.0
19,2014-01-31,2011,15,freestyle,42.0
20,2013-02-03,1303,380,freestyle,33.0
21,2013-02-03,1304,184,classic,25.0
22,2012-02-05,630,23,freestyle,17.0
23,2012-02-05,631,15,classic,13.5
24,2011-02-05,245,23,freestyle,33.0
25,2011-02-05,246,22,classic,25.0
